Detector;Year;Doctype;Publisher;Venue;Title;Citations;Altmetric;All Tips;Tortured Phrases;Assessor;PubPeer Users
clayFeet, suspect, tortured;2021;article;Elsevier;Ain Shams Engineering Journal;Performance evaluation of regression models for COVID-19: A statistical and predictive perspective;16;0;11;crude information • direct backslide • information digging • man-made intelligence • misfortune work • polynomial relapse • pre-handling • preparing set;Cabanac;Alexander Magazinov
tortured;2021;article;Elsevier;Global Transitions Proceedings;Emotion based video player;1;0;11;actuation capacities • back proliferation • enactment capacities • enactment work • initiation work • neural organization • non-straight change • revolution scaling interpretation~2 • secret layer • straight change • back spread AND neural;Invitation for human assessors;–
clayFeet, tortured;2021;article;Elsevier;Materials Today Proceedings;Comparing between DFT and DCT techniques to classification earthquake or explosion;0;0;11;Fourier change • discrete Fourier change • informational collection • informational index • picture handling • picture preparing • square blunder;Cabanac;Tofieldia Coccinea, Amel H. Abbas, Actinopolyspora Biskrensis, N. H. Wise, Guillaume Cabanac
suspect, tortured;2021;article;International Association of Online Engineering (IAOE);International Journal of Interactive Mobile Technologies (iJIM);The Role of MANET in Collaborating IoT End Devices: A New Era of Smart Communication;1;0;11;distinguishing proof • figuring asset • keen gadget • keen home • pre-handling • shrewd gadget • shrewd home • specially appointed system • brilliant AND keen AND savvy AND shrewd;Cabanac;Guillaume Cabanac
suspect, tortured;2021;article;IOP Publishing;Journal of Physics Conference Series;An Adaptive Fuzzy System based Insider Attacks detection with Group Key management for Wireless Ad-Hoc Network;0;0;11;Euclidean separation • as pursues • fluffy framework • fuzzy rationale • gathering key administration • malevolent hub • malignant hub • misfortune rate • parcel misfortune • steering convention;Cabanac;Guillaume Cabanac, Research Integrity
suspect, tortured;2021;article;Institute of Electrical and Electronics Engineers (IEEE);IEEE Access;Feature Evaluation of Emerging E-Learning Systems Using Machine Learning: An Extensive Survey;10;0;11;facial acknowledgement OR facial acknowledgment • information mining • man-made brainpower • man-made consciousness • neural organization • preparation information • sigmoid capacity • strategic relapse • profound learning AND deep learning • regulated learning AND supervised learning;Cabanac;Guillaume Cabanac
tortured;2021;article;Springer Nature;BioData Mining;A multi-feature hybrid classification data mining technique for human-emotion;2;0;11;calculated relapse • crude information • hereditary calculation • information mining • informational index • irresistible infections • preparation dataset • preparing and testing • prescient model • repetitive neural network • sound individuals;Invitation for human assessors;–
suspect, tortured;2021;article;Elsevier;Materials Today Proceedings;Deep bidirectional neural networks for robust speech recognition under heavy background noise;0;0;11;concealed layer • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • discourse signs • neural organization • preparing and testing • preparing information • repetitive neural organizations • shrouded layer • slice level precision;Cabanac;Elisabeth M Bik
tortured;2021;article;Institute of Advanced Engineering and Science;International Journal of Reconfigurable and Embedded Systems (IJRES);Hamming neural network application with FPGA device;0;0;11;concealed layer • counterfeit neural • enactment work • info and yield • loads and predispositions NOT COVID • man-made brainpower • repetitive layers • repetitive neural network • shrouded layer • yield layers • yield layer AND neural;Invitation for human assessors;–
clayFeet, tortured;2021;article;Emerald;International Journal of Intelligent Unmanned Systems;Intrusion detection in mobile ad-hoc network using Hybrid Reactive Search and Bat algorithm;8;0;11;customary strategies • malevolent hub • malignant hub • noxious hub • profound learning AND deep learning;Invitation for human assessors;–
clayFeet, suspect, tortured;2021;article;IOP Publishing;Journal of Physics Conference Series;Agricultural Farming Survey Using Iot;0;0;11;Web of Things (IoT) • crude information • huge information • information digging • neural organization • picture preparing • profound neural organization • recognizable proof • trickle water system;Magazinov;Elaphoglossum Callifolium, Guillaume Cabanac
clayFeet, suspect, tortured;2021;article;Elsevier;Microprocessors and Microsystems;Human Body Model Bone Extraction Algorithm Based On Space Segmentation and Computer Image;0;0;11;attractive reverberation • info picture • picture division • picture handling • shading pictures • x-beam pictures;Cabanac;Hoya Camphorifolia, Actinopolyspora Biskrensis
tortured;2021;article;Elsevier;Materials Today Proceedings;Demonstrating impact of noise over classifier performance in a privacy-preserving data mining application;0;0;11;Euclidean separation • K-closest neighbors • blunder rate • dimensionality decrease • information mining • informational collection • irregular clamor • likelihood circulation • preparation dataset • preparing and testing datasets • preparing and testing;Invitation for human assessors;–
tortured;2021;article;IOP Publishing;IOP Conference Series Materials Science and Engineering;Detecting Sybil Attack In Wireless Sensor Networks Using Machine Learning Algorithms;12;0;11;Euclidean separation • backing vector machine • botnet assault • calculated relapse • choice tree • disavowal of administration • informational index • irregular timberland • pernicious hub • secret Markov • strategic relapse;Cabanac;Guillaume Cabanac
clayFeet, journal-cases, suspect, tortured;2021;article;Elsevier;Microprocessors and Microsystems;Development and application of VR course resources based on embedded system in open education;13;0;11;human-made brainpower • irregular request • keen home • maturing populace • picture handling • profound learning AND deep learning;Cabanac;Hoya Camphorifolia
clayFeet, journal-cases, tortured;2021;article;Elsevier;Microprocessors and Microsystems;Simulation of English translation text filtering based on machine learning and embedded system;4;0;11;arbitrary backwoods • casing picture~3 • discourse acknowledgement OR discourse acknowledgment • discourse record • exactness, review • machine interpretation • neural organization • shading pictures • twofold request;Magazinov;Alexander Magazinov, Hoya Camphorifolia
clayFeet, journal-cases, suspect, tortured;2021;article;Elsevier;Microprocessors and Microsystems;Human motion image detection and tracking method based on Gaussian mixture model and CAMSHIFT;4;0;11;Gaussian combination models • PC vision • picture grouping • picture preparing • recognizable proof • solo learning • profound learning AND deep learning;Cabanac;Hoya Camphorifolia
journal-cases, tortured;2021;article;Elsevier;Microprocessors and Microsystems;Valsartan treatment of congestive heart failure based on FPGA and dynamic image sampling;0;0;11;PC vision • coronary conduit • coronary corridor • coronary illness • help vector machine • hereditary calculation • highlights are extricated • info picture • informational collection • picture division;Cabanac;Hoya Camphorifolia
clayFeet, journal-cases, tortured;2021;article;Elsevier;Microprocessors and Microsystems;Simulation of microbial enhanced recycled aggregate preparation system based on artificial intelligence and embedded processor;0;0;11;carbonic corrosive • counterfeit neural • fake neural • man-made brainpower • neural organization • ozone harming substance • steering convention • worldwide temperature alteration;Cabanac;Rhipidura Albiventris
journal-cases, suspect, tortured;2021;article;Elsevier;Microprocessors and Microsystems;Music teaching platform based on FPGA and neural network;18;0;11;angle plummet • concealed layer • info and yield • info layer • neural organization • shrouded layer • squared mistake • yield layers • yield layer AND neural;Cabanac;Tripylina Manurewa, Dorothy V.M. Bishop, Hoya Camphorifolia
tortured;2021;chapter;Elsevier;Handbook of Deep Learning in Biomedical Engineering;1 Congruence of deep learning in biomedical engineering future prospects and challenges;1;0;11;Wavelet change • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • information picture • informational collection • picture preparing • preparing information • recurrence space • shading pictures • unique finger impression • preparing information AND (training set OR training dataset);Invitation for human assessors;–
tortured;2021;chapter;Wiley;Green Internet of Things and Machine Learning;IoT-Enabled AI-Based Model to Assess Land Suitability for Crop Production;0;0;11;AI calculation • administered learning • choice tree • computer-based intelligence • computerized reasoning • keen city • neural organization • profound model • recognizable proof • uphold vector machine • brilliant AND keen AND savvy AND shrewd;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;ICT with Intelligent Applications;Identifying Learning Standards of Artificial Neural Networks: A Study;0;0;11;actuation work • enactment work • feedforward neural organization • informational index • loads and predispositions NOT COVID • neural organization • preparation information • preparation informational index • secret layer • secret neuron • directed learning AND supervised learning;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Emerging Research in Computing, Information, Communication and Applications;Bug Triaging: Right Developer Recommendation for Bug Resolution Using Data Mining Technique;1;0;11;AI calculation • arbitrary woods • as pursues • gullible Bayes • information mining • innocent Bayes • preparing information • spam sifting • surface highlights • content arrangement AND classification • preparing information AND (training set OR training dataset);Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Emerging Research in Computing, Information, Communication and Applications;CYPUR-NN: Crop Yield Prediction Using Regression and Neural Networks;0;0;11;K-closest neighbors • bolster vector relapse • direct relapse • information mining • mean outright mistake • prescient capacity • prescient exactness • recognizable proof • square blunder • square mistake • straight relapse;Invitation for human assessors;–
tortured;2021;chapter;Taylor & Francis;Applications of Artificial Intelligence in Business and Finance;Impact of Artificial Intelligence on the Insurance Industry;0;0;11;AI calculation • common language preparing • computer-based intelligence • design acknowledgment • informational collection • informational index • man-made brainpower • man-made consciousness • man-made intelligence • named information • profound learning AND deep learning;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Sentimental Analysis and Deep Learning;Extensive Analysis of Global Presidents’ Speeches Using Natural Language;0;0;11;discourse data • grouping errand • gullible Bayes • information mining • informational collection • irregular backwoods • machine interpretation • objective language • preparing information • supposition examination • preparing information AND (training set OR training dataset);Invitation for human assessors;–
tortured;2021;chapter;Taylor & Francis;Artificial Intelligence and Machine Learning in Business Management;Artificial Intelligence for All;0;0;11;attractive reverberation • convolutional neural system • kidney disappointment • lymph hub • myocardial localized necrosis • picture division • picture handling • positron discharge tomography • profound convolutional • recognizable proof • registered tomography;Cabanac;Guillaume Cabanac
tortured;2021;chapter;De Gruyter;Computational Intelligence for Managing Pandemics;15 Deep learning for analysis of COVID-19 electronic health records;0;0;11;administered learning • counterfeit neural • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • fake neural • preparation dataset • preparing design • preparing information • slope plunge • directed learning AND supervised learning • preparing information AND (training set OR training dataset);Invitation for human assessors;–
tortured;2021;chapter;Wiley;Machine Learning Approach for Cloud Data Analytics in IoT;Machine Learning–Based Data Analysis;0;0;11;activation work • choice tree • huge information • keen city • man-made intelligence • neural associations • normal language preparing • preparing information • prescient model • talk affirmation • web scratching;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Advances in Bioinformatics;Bioinformatics in Personalized Medicine;1;0;11;AI calculation • crude information • example acknowledgment • huge information • information mining • information stockroom • irregular walks • man-made brainpower • man-made consciousness • more noteworthy exactness • recognizable proof;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Hybrid Artificial Intelligence and IoT in Healthcare;Hybrid AI and IoT Approaches Used in Health Care for Patients Diagnosis;0;0;11;AI calculation • computer-based intelligence • computerized reasoning • coronary illness • crude information • fluffy framework • help vector machine • irregular backwoods • man-made brainpower • man-made reasoning • maturing populace;Invitation for human assessors;–
suspect, tortured;2021;chapter;Springer Nature;Expert Clouds and Applications;A Detailed Survey on Deep Learning Techniques for Real-Time Image Classification, Recognition and Analysis;0;0;11;PC vision • counterfeit neural • discourse acknowledgement OR discourse acknowledgment • extricates highlights • information mining • informational index • neural organization • picture handling • recognizable proof • profound learning AND deep learning;Magazinov;Alexander Magazinov
tortured;2021;chapter;Springer Nature;Intelligent Data Analysis for COVID-19 Pandemic;Analysis, Modelling and Prediction of COVID-19 Outbreaks Using Machine Learning Algorithms;0;0;11;crude information • loads and inclinations • man-made consciousness • misfortune work • named preparing information • preparing and testing • preparing information • prescient model • tainted individuals • social removing AND COVID • preparing information AND (training set OR training dataset);Invitation for human assessors;–
clayFeet, tortured;2021;chapter;Springer Nature;Soft Computing for Intelligent Systems;Various Swarm Optimization Algorithms: Review, Challenges, and Opportunities;1;0;11;enactment work • man-made reasoning • recognizable proof • sigmoid capacity • steering table AND network • enhancement calculation AND optimiz*;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Computer Networks, Big Data and IoT;Algorithmic Trading Using Machine Learning and Neural Network;1;0;11;direct relapse • information entryway • information mining • informational collection • neural associations • neural organization • preparation information • prescient model • speculation capacity • squared mistake • profound learning AND deep learning;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Proceedings of International Conference on Communication and Artificial Intelligence;Enhanced Movie Reviews Classification Using Precise Combination of PCA with LSTM Model;0;0;11;AI calculation • actuation capacities • convolutional neural system • crude information • customary strategies • non-direct capacities • preparation dataset • preparing and testing • recognizable proof • sigmoid capacity • profound learning AND deep learning;Invitation for human assessors;–
tortured;2021;chapter;Elsevier;Electronic Devices, Circuits, and Systems for Biomedical Applications;Chapter 25 Comparative analysis of various supervised machine learning techniques for diagnosis of COVID-19;4;0;11;K-closest neighbors • convolution neural system • info and yield • informational collection • informational index • preparation dataset • preparation information • preparation set • tainted patients • preparing dataset AND training dataset • profound learning AND deep learning;Invitation for human assessors;–
suspect, tortured;2021;chapter;Springer Nature;Data-Driven Mining, Learning and Analytics for Secured Smart Cities;A Reliable Cloud Assisted IoT Application in Smart Cities;0;0;11;crude information • distinguishing proof • hereditary calculation • shrewd gadget • brilliant AND keen AND savvy AND shrewd;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Advanced Prognostic Predictive Modelling in Healthcare Data Analytics;Disease Prediction Using Data Mining and Machine Learning Techniques;7;0;11;arrangement and relapse • completely associated layer • concealed state • counterfeit neural • heart ailments • human-made brainpower • info picture • information mining • information picture • informational index • profound neural system;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Machine Learning: Theoretical Foundations and Practical Applications;Customer Profiling and Retention Using Recommendation System and Factor Identification to Predict Customer Churn in Telecom Industry;0;0;11;arbitrary woodland • bolster vector machine • bunching clustering~20 • calculated relapse • gatherings clustering~10 • half-breed approach • hereditary calculation • huge information • information digging • information mining • strategic relapse;Invitation for human assessors;–
suspect, tortured;2021;chapter;Springer Nature;Machine Learning and Information Processing;ETL and Business Analytics Correlation Mapping with Software Engineering;0;0;11;crude information • huge information • information distribution center • information stockroom • informational collection;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Intelligent Manufacturing and Energy Sustainability;Deep Learning Approach for Prediction of Handwritten Telugu Vowels;1;0;11;PC vision • completely associated layer • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • example acknowledgment • facial acknowledgement OR facial acknowledgment • help vector machine • man-made consciousness • normal language handling • picture order • picture recognition;Invitation for human assessors;–
suspect, tortured;2021;chapter;Springer Nature;Nanotechnology for Advances in Medical Microbiology;Nanomaterials for Advanced Microbiology;1;1;11;Fourier change • ascorbic corrosive • direct relapse • filtering electron microscopy • multidrug opposition • polymerase chain response • resistant framework • sedate conveyance • sign to commotion • vitality dispersive;Cabanac;Raphaël Lévy, Govindh Boddeti, Lomatium Bradshawii, Mutinus Albotruncatus, Salsola Zygophylla
tortured;2021;chapter;Springer Nature;Proceedings of 3rd International Conference on Computing Informatics and Networks;Overview of Amalgam Models for Type-2 Diabetes Mellitus;1;0;11;affectability and specificity • choice tree • concealed layer • coronary illness • diastolic circulatory strain • high-exactness • informational collection • informational index • non-direct capacities • pre-handling • pre-preparing;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Advances in Automation, Signal Processing, Instrumentation, and Control;Prediction of Software Bugs Using Machine Learning Algorithm;0;0;11;AI calculation • bolster vector relapse • exactness accuracy~5 • highlight extractors • information mining • informational collection • informational index • preparation information • preparing information • prescient model • recognizable proof;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Advances in Automation, Signal Processing, Instrumentation, and Control;Friendly Waste Seggregator Using Deep Transfer Learning;0;0;11;PC vision • convolutional neural system • design acknowledgment • discourse to content acknowledgment • discourse to-content • enactment capacities • information picture • picture handling • picture preparing • preparation set • profound learning AND deep learning;Invitation for human assessors;–
tortured;2021;chapter;Wiley;Data Analytics in Bioinformatics;A Novel Approach for Prediction of Stock Market Behavior Using Bioinformatics Techniques;1;0;11;DNA grouping • counterfeit neural • customary strategies • design acknowledgment • example arrangement • information mining • informational index • perception vector • preparation information • speculation capacity • back engendering AND neural;Invitation for human assessors;–
suspect, tortured;2021;chapter;Wiley;Machine Vision Inspection Systems, Volume 2;An Innovative Extended Method of Optical Pattern Recognition for Medical Images With Firm Accuracy—4f System-Based Medical Optical Pattern Recognition;1;0;11;Fourier change • direct blend • genuine esteemed • info and yield • picture handling;Invitation for human assessors;–
tortured;2021;chapter;Wiley;Machine Vision Inspection Systems, Volume 2;Compressed Medical Image Retrieval Using Data Mining and Optimized Recurrent Neural Network Techniques;0;0;11;Fourier change • bee province • bosom disease • highlight vector • intra and bury • picture grouping • picture order • picture recovery • surface highlights • picture highlights AND image features • picture arrangement AND image classification;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Advances in Smart Grid and Renewable Energy;Analysis of Received Signal Strength Based on User Position Locating by Using ML Methods;0;0;11;AI calculation • K-closest neighbors • administered AI • convolution neural system • direct relapse • preparation information • preparing information • straight relapse • worldwide situating framework • radio wire AND antenna • profound learning AND deep learning;Invitation for human assessors;–
tortured;2021;chapter;Springer Nature;Research in Intelligent and Computing in Engineering;Automated Currency Recognition Using Neural Networks;0;0;11;convolutional neural system • highlight descriptor • highlight extraction • info picture • informational collection • pre-prepared model • preparation information • preparing and testing • preparing information • recognizable proof • picture arrangement AND image classification;Invitation for human assessors;–
tortured;2021;preprint;Elsevier;SSRN Electronic Journal;Abnormality Detection in Roads taking Data Mining Approach;0;0;11;choice tree • distinguishing proof • grouping methods • information mining • informational collection • informational index • k-implies bunching • neural organization • peculiarity discovery • recognizable proof • self-arranging map;Invitation for human assessors;–
suspect, tortured;2021;preprint;Research Square Platform LLC;Research Square;Automatic Approach for Mask Detection Effective: For COVID-19;0;1;11;PC vision • convolutionary neural networks • info picture • information picture • informational collection • neural associations • neural organization • preparation set • voice acknowledgment • profound learning AND deep learning;Cabanac;Cryptothecia Assimilis, Nerita Vitiensis
tortured;2021;preprint;Elsevier;SSRN Electronic Journal;Swine Flu Detection System using IOT: A Survey;0;0;11;actuation capacities • backing vector machine • choice tree • cross-entropy misfortune • direct relapse • fake neural • initiation work • misfortune work • neural organization • secret layer • square blunder;Invitation for human assessors;–
tortured;2021;preprint;Elsevier;SSRN Electronic Journal;Driving Cars Using Webcam By Finding Contours of Two Similarly Coloured Objects;0;0;11;PC vision • acknowledgment exactness • acknowledgment execution • acknowledgment pace • design acknowledgment • help vector machine • keen home • pixel esteems • upper appendage • versatile stages AND mobile • profound learning AND deep learning;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 6th International Conference on Inventive Computation Technologies (ICICT);Deep Learning based Face Mask Recognition System -A Review;0;0;11;PC vision • convolutional neural organization • distant detecting • manufactured opening radar • move learning • neural organization • profound convolutional • profound neural organization • move learning AND transfer learning • profound learning AND deep learning • regulated learning AND supervised learning;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 International Conference on Simulation, Automation & Smart Manufacturing (SASM);Movie Reviews Sentiment Analysis through Deep Learning;0;0;11;K-closest neighbors • backing vector machine • exactness, review • gullible Bayes • huge information • neural associations • neural organization • outspread premise capacities • recurrent neural organization • talk affirmation • web scratching;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 International Conference on Computational Performance Evaluation (ComPE);An Efficient Model for Detection and Classification of Internal Eye Diseases using Deep Learning;0;0;11;Euclidean separation • choice emotionally supportive • convolutional neural organization • cutting edge sequencing • neural organization • picture inscribing • picture subtitling • polynomial relapse • recognizable proof • exchange learning AND transfer learning • profound learning AND deep learning;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 International Conference on Advances in Technology, Management & Education (ICATME);Feature Optimization of Motor Imagery EEG Classification using BEE Scout Algorithms and Machine Learning for ALS Disease Predication;0;0;11;AI calculation • backing vector machine • choice emotionally supportive • collector working trademark • distinguishing proof • high-exactness • highlight extraction • picture division • preparing information • preparing set • profound learning AND deep learning;Invitation for human assessors;–
suspect, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 3rd International Conference on Advances in Computing, Communication Control and Networking (ICAC3N);Study and Analysis of IOT Security;0;0;11;DDoS assault • DoS assault • haze registering • man in the center • pernicious hub • shrewd home • specially appointed system • vitality utilization • brilliant AND keen AND savvy AND shrewd;Cabanac;Guillaume Cabanac
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 3rd International Conference on Advances in Computing, Communication Control and Networking (ICAC3N);Determining Accuracy Rate of Artificial Intelligence Models using Python and R-Studio;8;0;11;back proliferation • choice emotionally supportive • computerized reasoning • concealed layer • informational index • perplexity framework • shrouded layer • sigmoid capacity • yield layers • back spread AND neural • yield layer AND neural;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 Sixth International Conference on Image Information Processing (ICIIP);ML Based Hybrid Approach for COVID Disease Detection Using X-Ray Images;0;0;11;AI calculation • computerized reasoning • dimensionality decrease • man-made brainpower • move learning • pixel esteems • pre-handling • preparing set • x-beam pictures • move learning AND transfer learning • profound learning AND deep learning;Invitation for human assessors;–
clayFeet, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 International Conference on Computational Intelligence and Computing Applications (ICCICA);A multinomial technique for detecting fake news using the Naive Bayes Classifier;1;0;11;AI calculation • administered learning • counterfeit news • disarray framework • informational index • innocent Bayes • preparation information • preparing and testing datasets • preparing and testing;Cabanac;Guillaume Cabanac
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 10th International Conference on System Modeling & Advancement in Research Trends (SMART);COVID-19 Detection System using Chest X-rays or CT Scans;0;0;11;completely associated layer • extricated highlights • highlight extraction • neural organization • recurrent neural organization • respiratory plot • sound individuals • tainted individuals • test arrangement • profound learning AND deep learning • picture arrangement AND image classification;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 6th International Conference on Signal Processing, Computing and Control (ISPCC);Breast Cancer Prediction in Machine Learning Techniques using Blockchain;1;0;11;approval dataset • blunder rate • bosom tumor • exactness accuracy~5 • high-exactness • highlight extraction • informational collection • informational index • preparation dataset • preparing and testing • recognizable proof;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO);Trust Computation in Robust Writer Identification for Indic Language(TCRWIL);0;0;11;concealed layer • distinguishing proof • huge information • initiation work • man-made brainpower • neural organization • penmanship acknowledgment • profound CNN • recognizable proof • remove highlights • repetitive organization;Invitation for human assessors;–
clayFeet, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO);Role of IoT and Fog Computing in Diagnosis of Coronavirus (COVID-19);6;0;11;computer-based intelligence • facial acknowledgement OR facial acknowledgment • haze figuring • high pay nations • information mining • mist registering • tainted individuals • tainted patients • tainted people • vitality utilization;Cabanac;Guillaume Cabanac
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 2nd International Conference on Smart Electronics and Communication (ICOSEC);Detection of COVID-19 on Lung CT Images Using Semi Supervised Learning;0;0;11;bosom malignant • help vector machine • lung knob • neural organization • picture division • picture handling • picture preparing • picture taking care of • profound model • speculation execution • profound learning AND deep learning;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);IEEE EUROCON 2021 - 19th International Conference on Smart Technologies;Empirical Study of Semi-Supervised Deep Fuzzy C-Mean Clustering Algorithm;0;0;11;AI calculation • administered learning • approval misfortune • help vector machine • highlight extraction • include choice • observational examination • preparation set • prescient model • regulated AI calculation • squared mistake;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 International Conference on System, Computation, Automation and Networking (ICSCAN);Identification of Criminal and Non-Criminal Face Using Deep Learning and Image Processing;0;0;11;PC vision • disarray framework • face acknowledgment • facial acknowledgement OR facial acknowledgment • high-exactness • highlight extraction • information picture • informational collection • informational index • neural associations • neural organization;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 1st International Conference on Emerging Smart Technologies and Applications (eSmarTA);Review of Internet Things (IoT) of Security Threats and Challenges;0;1;11;Web of Things (IoT) • distinguishing proof framework • distinguishing proof • haze figuring • haze registering • keen city • keen home • mist figuring • mist registering • recognizable proof • brilliant AND keen AND savvy AND shrewd;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 IEEE 12th Control and System Graduate Research Colloquium (ICSGRC);Notice of Violation of IEEE Publication Principles: An Automated Car Plate Identification Systems based on YOLO: Techniques and Methods;1;0;11;PC vision • acknowledgment pace • bouncing box • distinguishing proof • info picture • picture handling strategies • picture handling • preparing information • profound CNN • review and exactness • to separate highlights;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 10th IEEE International Conference on Communication Systems and Network Technologies (CSNT);Brain Tumor Detection Using Machine Learning in MR Images;2;0;11;assistance vector machine • atom swarm • counterfeit neural • fake neural • informational collection • informational index • mind tumor • neural associations • psyche tumor • swarm improvement • back spread AND neural;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 6th International Conference on Communication and Electronics Systems (ICCES);Analysis of Lung Cancer Detection Based on the Machine Learning Algorithm and IOT;0;0;11;attractive reverberation • commotion decrease • design acknowledgment • highlight extraction • highlight vector • hyperspectral symbolism • informational index • pre-handling • pre-preparing • preparing information • profound learning AND deep learning;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 5th International Conference on Trends in Electronics and Informatics (ICOEI);Detection of Human Facial Expression Using CNN and Deployment in Desktop Application;0;0;11;PC vision • distinguishing proof • feeling recognition • human-PC cooperation • information picture • neural associations • outward appearance acknowledgment • picture division • picture taking care of • sexual direction • profound learning AND deep learning;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 2nd International Conference on Intelligent Engineering and Management (ICIEM);Facial emotion recognition using convolutional neural network;1;0;11;PC vision • facial acknowledgement OR facial acknowledgment • facial highlights • feeling acknowledgment • highlight extraction • info picture • neural organization • outward appearance acknowledgment • remove highlights • strategic relapse • profound learning AND deep learning;Invitation for human assessors;–
suspect, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS);Improved Cluster Head Selection for Data Aggregation in Sensor Networks;6;0;11;bunch size • directing convention • fluffy rationale • leftover vitality • recognizable proof • specially appointed system • steering convention • vitality effective • vitality sparing • vitality utilization;Cabanac;Guillaume Cabanac
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS);Improving Extreme Learning Machine through Optimization A Review;4;0;11;arbitrary woodland • loads and inclinations • loads and predispositions NOT COVID • molecule swarm • neural organization • secret layer • shrouded layer • speculation execution • yield layers • yield layer AND neural • layer yields AND neural network;Invitation for human assessors;–
suspect, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 5th International Conference on Intelligent Computing and Control Systems (ICICCS);Real Time Face Identification for Capturing the Class Attendance Using Convolutional Neural Networks;0;0;11;back proliferation • completely associated layer • condition of-craftsmanship • convolutional neural organization • face acknowledgment • facial acknowledgement OR facial acknowledgment • highlight extraction • neural organization • recognizable proof • profound learning AND deep learning;Cabanac;N. H. Wise
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 Sixth International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET);A Review on Workload Characteristics for Multi Core Embedded Architectures using Machine Learning and Deep Learning Techniques;1;0;11;administered learning • arbitrary backwoods • choice tree • informational index • irregular timberland • preparation information • preparing information • preparing set • solo learning • unaided learning • vitality utilization;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 5th International Conference on Computing Methodologies and Communication (ICCMC);Gabor-Deep CNN based Masked Face Recognition for Fraud Prevention;2;0;11;CNN engineering • example acknowledgment • face acknowledgment • facial acknowledgement OR facial acknowledgment • highlights are extricated • neural organization • picture order • preparing pictures • recognizable proof • recurrence space • teachable boundaries;Invitation for human assessors;–
